OBJECTID,ADDRESS,zone
1,259 W MAIN,Delta
2,154 E MAIN,Delta
3,39 N SR 6,Delta
4,358 N SR 6,Delta
5,677 N SR 6,Delta
6,fasf,
7,677 N SR 6,
8,67 N SR 90,Town
9,259 W MAIN,Delta
10,154 E MAIN,Delta
11,39 N SR 6,Delta
12,358 N SR 6,Delta
13,677 N SR 6,Delta
14,fasf,
15,677 N SR 6,
16,67 N SR 90,Town
17,259 W MAIN,Delta
18,154 E MAIN,Delta
19,39 N SR 6,Delta
20,358 N SR 6,Delta
21,677 N SR 6,Delta
22,fasf,
23,677 N SR 6,
24,67 N SR 90,Town
25,67 N SR 90,Town
26,259 W MAIN,Delta
27,154 E MAIN,Delta
28,39 N SR 6,Delta
29,358 N SR 6,Delta
30,677 N SR 6,Delta
31,fasf,
32,677 N SR 6,
33,67 N SR 90,Town
